UT__yyyy-mm-ddThh:mm:ss.sssZ,N_ION_MOM_ESA-C__cm^-3_(All_Qs),VX_ION_GSM_MOM_ESA-C_(@_1_)_km/s_(All_Qs),VY_ION_GSM_MOM_ESA-C_(@_2_)_km/s_(All_Qs),VZ_ION_GSM_MOM_ESA-C_(@_3_)_km/s_(All_Qs),TX_ION_FA_MOM_ESA-C_(@_1_)_eV_(All_Qs),TY_ION_FA_MOM_ESA-C_(@_2_)_eV_(All_Qs),TZ_ION_FA_MOM_ESA-C_(@_3_)_eV_(All_Qs)
2008-08-12T20:47:05.403Z,0.21853469,-14.382588,-21.977711,19.398512,2403.8365,2307.9185,1724.2706
2008-08-12T20:47:08.414Z,0.21853469,-11.792568,-25.484225,22.929257,2485.0838,2240.2212,1783.0616
2008-08-12T20:47:11.424Z,0.21853469,-12.670189,-12.67092,9.9817571,2281.6782,2204.6505,1761.3823
2008-08-12T20:47:14.434Z,0.24767265,-21.092869,-9.675346800000002,18.674678,2112.6976,2221.2147,1622.4755
2008-08-12T20:47:17.444Z,0.18939673,-16.592523,-9.580511900000001,14.382432,2774.6262,2800.4512,2122.7257
2008-08-12T20:47:20.455Z,0.27681061,-0.6892297,-11.365127,15.371748,1958.5873,2052.0158,1429.1171
2008-08-12T20:47:23.465Z,0.21853469,-3.571193,-11.834061,13.791395,2470.4826,2572.5822,1850.056
2008-08-12T20:47:26.475Z,0.24767265,12.405188,13.918053,10.364214,2192.0238,1950.5305,1636.8873
2008-08-12T20:47:29.486Z,0.21853469,-0.058471768,27.858404,4.4204412,2426.7882,2344.3957,1710.884
2008-08-12T20:47:32.496Z,0.27681061,18.861859,6.468817,7.615545299999999,2024.4777,1975.2681,1473.7654
2008-08-12T20:47:35.506Z,0.27681061,16.60541,13.917799,0.57162622,1912.5146,1831.2525,1387.7321
2008-08-12T20:47:38.516Z,0.30594857,7.892472200000001,16.810967,9.3796992,1730.8402,1783.9456,1368.0788
2008-08-12T20:47:41.527Z,0.30594857,4.7820274,33.533453,8.9205087,1825.2456,1874.4242,1359.1166
2008-08-12T20:47:44.537Z,0.27681061,20.138258,23.445042,-3.0620856,1832.5185,2037.5259,1325.8266
2008-08-12T20:47:47.547Z,0.18939673,12.753997,44.411237,6.4342918,2706.9392,2764.5714,2008.5549
2008-08-12T20:47:50.558Z,0.27681061,15.949398,11.014237,-7.8138859,1879.8657,2002.3042,1457.7741
2008-08-12T20:47:53.568Z,0.27681061,37.620723,16.018418,0.63426327,1761.9223,1950.8205,1414.1176
2008-08-12T20:47:56.578Z,0.27681061,19.990194,-5.7911114,12.025629,1969.831,1968.5058,1462.794
2008-08-12T20:47:59.588Z,0.27681061,6.320567,-21.191467,-4.0481804,2014.058,1965.5789,1383.6667
2008-08-12T20:48:02.599Z,0.21853467,21.406612,-13.60175,11.291288,2390.4675,2459.4025,1738.718
2008-08-12T20:48:05.609Z,0.24767262,10.367791,-19.029443,3.6340534,2056.0484,2069.1389,1569.8314
2008-08-12T20:48:08.619Z,0.21853467,25.43749,-15.977787,0.89667116,2440.9788,2476.1356,1783.7584
2008-08-12T20:48:11.630Z,0.21853467,8.909736500000001,-6.6390239,-2.7940666,2293.889,2378.2638,1835.0354
2008-08-12T20:48:14.640Z,0.24767262,20.210665,-18.820171,-2.7177646,2348.9385,2234.5967,1621.4085
2008-08-12T20:48:17.650Z,0.27681058,14.889541,-8.132505400000001,-2.6055982,1918.6807,1953.3555,1477.7765
2008-08-12T20:48:20.660Z,0.24767262,24.778037,-0.56324718,6.7651168,2338.0093,2144.4411,1550.9531
2008-08-12T20:48:23.671Z,0.21853467,16.442288,-0.77500427,-2.4245107,2518.8933,2292.5378,1829.4882
2008-08-12T20:48:26.681Z,0.24767262,15.864387,6.9523169,-0.07123191,2186.8587,2111.4824,1600.7047
2008-08-12T20:48:29.691Z,0.24767262,18.05959,7.5304906,2.9697449,2319.4484,2042.451,1566.5761
2008-08-12T20:48:32.702Z,0.24767262,12.377778,7.8158959,4.3821819,2200.2914,2192.466,1593.9044
2008-08-12T20:48:35.712Z,0.24767262,31.403833,11.458371,3.4125661,2184.2822,2275.6278,1545.7717
2008-08-12T20:48:38.722Z,0.21853467,14.266355,16.175822,-0.32129497,2376.8643,2536.3878,1738.2044
2008-08-12T20:48:41.732Z,0.24767262,11.153729,8.2864346,-2.1882554,2159.5738,2331.3949,1592.5127
2008-08-12T20:48:44.743Z,0.21853467,-4.297708099999999,-18.365217,-1.1943025,2558.4982,2525.5132,1797.4427
2008-08-12T20:48:47.753Z,0.18939671,6.823899900000001,-1.5891219,-4.6529467,2786.2234,2952.5384,2016.0354
2008-08-12T20:48:50.763Z,0.24767262,5.8548644,-2.9793659,4.228634400000001,2183.1263,2236.1517,1538.656
2008-08-12T20:48:53.773Z,0.21853467,3.0468639,-13.274755,6.562792,2686.1821,2775.2825,1799.8857
2008-08-12T20:48:56.784Z,0.21853464,10.155451,5.287867400000001,-10.867434,2643.8937,2705.5049,1814.8288
2008-08-12T20:48:59.794Z,0.21853464,5.6980138,-3.849860899999999,6.583576299999999,2414.9755,2734.1094,1720.6894
2008-08-12T20:49:02.804Z,0.21853464,-1.8575524,-5.2049333,0.86269831,2699.2941,2455.4337,1862.3426
2008-08-12T20:49:05.815Z,0.24767259,6.4534559,-16.676082,12.938789,2334.8512,2250.1128,1576.0223
2008-08-12T20:49:08.825Z,0.21853464,-8.6670912,-29.071595,1.8959897,2772.451,2636.7062,1884.5327
2008-08-12T20:49:11.835Z,0.21853464,-4.8100266,-13.353432,4.3982511,2700.0924,2663.4131,1827.7451
2008-08-12T20:49:14.845Z,0.21853464,5.509388,-17.225182,-4.9450115,2567.3668,2556.5244,1829.3951
2008-08-12T20:49:17.856Z,0.18939669,-10.425243,0.60199567,6.641399499999999,2855.855,2990.8555,2107.4562
2008-08-12T20:49:20.866Z,0.24767259,-2.6890433,-9.4417127,-9.0513655,2312.4847,2244.0733,1658.209
