UT__yyyy-mm-ddThh:mm:ss.sssZ,FGS-D_B_TOTAL__nT_(All_Qs),BX_FGS-D_(@_1_)_nT_GSM,BY_FGS-D_(@_2_)_nT_GSM,BZ_FGS-D_(@_3_)_nT_GSM
2008-08-12T20:50:43.339Z,43.7347,10.7085,2.40463,42.3352
2008-08-12T20:50:46.350Z,43.8098,10.7646,2.11714,42.4139
2008-08-12T20:50:49.360Z,43.6225,10.6661,2.29714,42.2360
2008-08-12T20:50:52.370Z,43.6677,10.7873,2.09138,42.2626
2008-08-12T20:50:55.381Z,43.6183,10.8813,2.12650,42.1856
2008-08-12T20:50:58.391Z,43.7222,11.0191,1.88794,42.2688
2008-08-12T20:51:01.401Z,43.6290,11.0172,2.08593,42.1635
2008-08-12T20:51:04.411Z,43.6956,11.0750,1.79657,42.2305
2008-08-12T20:51:07.422Z,43.6238,11.1042,2.12770,42.1332
2008-08-12T20:51:10.432Z,43.6085,11.0890,1.78012,42.1375
2008-08-12T20:51:13.442Z,43.5206,11.1723,2.02333,42.0135
2008-08-12T20:51:16.453Z,43.6216,11.3624,1.69870,42.0815
2008-08-12T20:51:19.463Z,43.5061,11.3639,1.89297,41.9531
2008-08-12T20:51:22.473Z,43.6492,11.4441,1.74605,42.0861
2008-08-12T20:51:25.483Z,43.5362,11.5486,1.77005,41.9392
2008-08-12T20:51:28.494Z,43.6720,11.7681,1.58041,42.0268
2008-08-12T20:51:31.504Z,43.6566,11.8915,1.75056,41.9693
2008-08-12T20:51:34.514Z,43.7431,12.0675,1.63770,42.0137
2008-08-12T20:51:37.525Z,43.6750,12.1996,1.79858,41.8980
2008-08-12T20:51:40.535Z,43.7762,12.2868,1.64422,41.9844
2008-08-12T20:51:43.545Z,43.6688,12.3389,1.75430,41.8526
2008-08-12T20:51:46.555Z,43.7010,12.3337,1.75910,41.8876
2008-08-12T20:51:49.566Z,43.6290,12.2936,1.83140,41.8211
2008-08-12T20:51:52.576Z,43.6935,12.2138,1.58289,41.9218
2008-08-12T20:51:55.586Z,43.6858,12.1632,1.66632,41.9252
2008-08-12T20:51:58.597Z,43.7667,12.2192,1.37882,42.0038
2008-08-12T20:52:01.607Z,43.7516,12.0834,1.41703,42.0260
2008-08-12T20:52:04.617Z,43.8406,12.0001,1.17222,42.1500
2008-08-12T20:52:07.627Z,43.8985,12.1459,1.48480,42.1586
2008-08-12T20:52:10.638Z,44.0470,12.1568,1.07898,42.3224
2008-08-12T20:52:13.648Z,44.0428,12.0192,1.11904,42.3563
2008-08-12T20:52:16.658Z,44.1427,11.9865,0.789999,42.4768
2008-08-12T20:52:19.669Z,44.0997,11.9935,0.781798,42.4303
2008-08-12T20:52:22.679Z,44.1983,11.9955,0.582201,42.5354
2008-08-12T20:52:25.689Z,44.2289,11.9725,0.802470,42.5700
2008-08-12T20:52:28.699Z,44.3798,12.0180,0.526054,42.7184
2008-08-12T20:52:31.710Z,44.3621,12.0891,0.782275,42.6760
2008-08-12T20:52:34.720Z,44.5038,12.0840,0.590083,42.8277
2008-08-12T20:52:37.730Z,44.5207,12.0974,0.937926,42.8353
2008-08-12T20:52:40.741Z,44.6909,12.1218,0.880703,43.0066
2008-08-12T20:52:43.751Z,44.7381,12.2169,1.27747,43.0187
2008-08-12T20:52:46.761Z,44.8046,12.1718,1.15836,43.1040
2008-08-12T20:52:49.771Z,44.7381,12.2169,1.27590,43.0188
2008-08-12T20:52:52.782Z,44.9528,12.4242,1.09915,43.1878
2008-08-12T20:52:55.792Z,44.9758,12.6276,1.32009,43.1465
2008-08-12T20:52:58.802Z,45.0655,12.5620,0.859736,43.2707
2008-08-12T20:53:01.813Z,45.1901,12.6280,0.924519,43.3801
2008-08-12T20:53:04.823Z,45.2249,12.5881,0.799833,43.4304
2008-08-12T20:53:07.833Z,45.2464,12.5846,0.802727,43.4537
2008-08-12T20:53:10.843Z,45.3181,12.7294,0.556700,43.4900
2008-08-12T20:53:13.854Z,45.2838,12.7169,0.765851,43.4548
2008-08-12T20:53:16.864Z,45.2576,12.4283,0.498083,43.5148
2008-08-12T20:53:19.874Z,45.3309,12.6229,0.728271,43.5318
2008-08-12T20:53:22.885Z,45.3823,12.7188,0.564600,43.5599
2008-08-12T20:53:25.895Z,45.4635,12.7218,0.923535,43.6375
2008-08-12T20:53:28.905Z,45.5278,12.9528,1.28131,43.6275
2008-08-12T20:53:31.915Z,45.5720,12.9111,1.15846,43.6895
2008-08-12T20:53:34.926Z,45.6390,13.1421,1.51625,43.6795
2008-08-12T20:53:37.936Z,45.5476,13.0186,1.54150,43.6202
2008-08-12T20:53:40.946Z,45.5667,13.0674,1.45833,43.6285
2008-08-12T20:53:43.957Z,45.5984,13.0968,1.59252,43.6481
2008-08-12T20:53:46.967Z,45.5268,12.9874,1.40597,43.6123
2008-08-12T20:53:49.977Z,45.5556,13.1384,1.71298,43.5863
2008-08-12T20:53:52.987Z,45.5834,13.2032,1.41617,43.6064
2008-08-12T20:53:55.998Z,45.5564,13.0522,1.10756,43.6325
2008-08-12T20:53:59.008Z,45.6061,13.2005,0.857825,43.6455
2008-08-12T20:54:02.018Z,45.6191,13.0941,1.03099,43.6873
