EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,H_DENSITY_#/cc,SW_H_SPEED_km/s,H_TEMP_RADIAL_Kelvin,VX_(GSM)_km/s,VY_(GSM)_km/s,VZ_(GSM)_km/s
2008-08-12T21:52:25.000Z,1.93780,555.850,88549.5,-552.836,-9.48600,-56.2990
2008-08-12T21:53:29.000Z,1.72290,557.400,97447.6,-554.548,-8.47400,-54.9650
2008-08-12T21:54:33.000Z,1.91990,558.940,114034.,-557.357,-8.14400,-40.5830
2008-08-12T21:55:37.000Z,1.79890,559.680,97462.1,-557.549,-9.70200,-47.1860
2008-08-12T21:56:41.000Z,1.78110,554.380,89963.4,-552.755,-5.06400,-41.4420
2008-08-12T21:57:45.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-12T21:58:49.000Z,1.71000,557.300,99178.4,-555.928,-4.31300,-38.1720
2008-08-12T21:59:53.000Z,1.98330,553.160,107306.,-550.460,-8.05400,-53.3650
2008-08-12T22:00:57.000Z,1.67620,554.060,92574.0,-551.196,-4.84200,-55.4840
2008-08-12T22:02:01.000Z,1.81290,553.760,98144.0,-551.888,-1.17100,-44.9070
2008-08-12T22:03:05.000Z,1.78010,554.040,114008.,-551.924,-11.9830,-46.3290
2008-08-12T22:04:09.000Z,1.86980,555.670,99482.3,-554.109,-6.20400,-40.6620
2008-08-12T22:05:13.000Z,1.82410,551.150,116765.,-549.414,2.65000,-43.0640
2008-08-12T22:06:17.000Z,1.85610,554.160,111972.,-552.485,-1.80300,-42.4610
2008-08-12T22:07:21.000Z,1.83130,550.910,117462.,-548.319,-8.26400,-52.2020
2008-08-12T22:08:25.000Z,1.81890,552.770,107003.,-550.198,-6.46700,-52.4200
2008-08-12T22:09:29.000Z,1.86470,549.680,115207.,-547.951,-5.05200,-42.8100
2008-08-12T22:10:33.000Z,1.83520,551.210,105384.,-548.789,-6.49700,-50.7090
2008-08-12T22:11:37.000Z,1.76850,549.160,114344.,-547.820,0.259000,-37.9170
2008-08-12T22:12:41.000Z,1.95180,550.270,116659.,-548.108,-8.44300,-47.5460
2008-08-12T22:13:45.000Z,1.71320,548.380,101628.,-547.421,-5.57900,-31.4680
2008-08-12T22:14:49.000Z,1.85490,546.230,117766.,-543.282,-11.1090,-55.2330
2008-08-12T22:15:53.000Z,1.75900,545.930,122405.,-543.582,-5.97200,-49.7990
2008-08-12T22:16:57.000Z,1.87640,544.980,117354.,-543.161,-7.20200,-43.4910
2008-08-12T22:18:01.000Z,1.85300,544.400,137524.,-542.698,-6.37400,-42.2360
2008-08-12T22:19:05.000Z,1.94500,556.680,114200.,-555.433,-10.4150,-35.4470
2008-08-12T22:20:09.000Z,1.83830,552.410,114156.,-550.727,-9.97700,-41.6410
2008-08-12T22:21:13.000Z,1.99440,549.790,123855.,-548.831,-6.10200,-31.6040
2008-08-12T22:22:17.000Z,1.80760,550.830,116287.,-548.607,-10.9320,-47.8860
2008-08-12T22:23:21.000Z,2.05100,552.530,117083.,-550.685,-9.58000,-43.8710
2008-08-12T22:24:25.000Z,1.84840,555.060,109913.,-553.046,-15.2770,-44.4520
2008-08-12T22:25:29.000Z,1.70390,551.090,114032.,-548.785,-13.0080,-48.4090
2008-08-12T22:26:33.000Z,1.77190,556.880,118292.,-556.047,-4.73200,-29.8590
2008-08-12T22:27:37.000Z,1.69140,551.310,89450.3,-549.659,-6.27000,-42.0400
2008-08-12T22:28:41.000Z,1.79380,549.730,108056.,-548.792,-3.26600,-31.6930
2008-08-12T22:29:45.000Z,1.87970,550.240,104968.,-548.626,-6.38100,-41.4360
2008-08-12T22:30:49.000Z,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31,-1.00000e+31
2008-08-12T22:31:53.000Z,2.15610,552.600,103709.,-551.253,-6.96600,-37.7270
2008-08-12T22:32:57.000Z,1.76360,549.430,107246.,-547.333,-7.89700,-47.1900
2008-08-12T22:34:01.000Z,1.88330,548.770,113114.,-547.590,-2.19100,-35.8270
2008-08-12T22:35:05.000Z,1.80400,546.550,103754.,-544.935,-4.10300,-41.7140
2008-08-12T22:36:09.000Z,1.86230,547.410,105502.,-546.158,-3.57500,-36.7180
2008-08-12T22:37:13.000Z,1.90120,547.870,121363.,-545.810,-5.78900,-47.0190
2008-08-12T22:38:17.000Z,1.81660,547.420,112532.,-545.427,-4.90200,-46.3370
2008-08-12T22:39:21.000Z,2.13080,546.070,106708.,-544.001,-5.54100,-47.1770
2008-08-12T22:40:25.000Z,1.96350,545.860,109285.,-543.550,-6.40800,-49.7740
2008-08-12T22:41:29.000Z,1.90340,547.930,114208.,-546.318,-3.63200,-41.8120
2008-08-12T22:42:33.000Z,1.88000,548.440,109860.,-546.121,-5.04400,-50.1610
2008-08-12T22:43:37.000Z,1.75780,547.260,114083.,-545.723,-3.57500,-40.8540
2008-08-12T22:44:41.000Z,1.93750,546.890,110691.,-544.050,-9.72700,-54.8750
2008-08-12T22:45:45.000Z,1.80080,546.930,99628.8,-544.422,-10.2300,-51.4060
2008-08-12T22:46:49.000Z,1.88940,546.450,109077.,-543.359,-8.48000,-57.4860
2008-08-12T22:47:53.000Z,1.76990,546.990,104264.,-543.790,-10.1140,-58.2790
2008-08-12T22:48:57.000Z,1.83300,547.340,89845.7,-545.075,-6.20800,-49.4170
2008-08-12T22:50:01.000Z,1.81800,547.180,103944.,-544.031,-7.98700,-58.1970
2008-08-12T22:51:05.000Z,1.86150,547.240,96441.9,-545.309,-5.49900,-45.8090
2008-08-12T22:52:09.000Z,1.83490,546.190,103260.,-543.690,-8.36200,-51.7360
2008-08-12T22:53:13.000Z,1.92430,547.050,102156.,-544.457,-8.36000,-52.7550
2008-08-12T22:54:17.000Z,1.89660,544.420,103416.,-541.858,-9.35300,-52.0860
2008-08-12T22:55:21.000Z,2.01980,539.840,106247.,-536.846,-12.1410,-55.7160
2008-08-12T22:56:25.000Z,1.81200,539.410,91826.5,-537.078,-12.3690,-48.7400
2008-08-12T22:57:29.000Z,1.87180,539.500,89617.4,-536.719,-12.0630,-53.5730
2008-08-12T22:58:33.000Z,1.83610,537.510,96362.8,-535.818,-8.05700,-42.0760
2008-08-12T22:59:37.000Z,1.92320,537.230,85943.5,-534.553,-11.4720,-52.5820
2008-08-12T23:00:41.000Z,1.83460,535.520,88954.8,-533.578,-8.52700,-45.1030
2008-08-12T23:01:45.000Z,2.00800,536.980,91574.9,-534.193,-12.9540,-53.4330
